Hugo Symbol	ensembl	oncokb	mskcc	mane
AJUBA	ENST00000262713	ENST00000262713		ENST00000262713
ALDH1L2	ENST00000258494	ENST00000258494		ENST00000258494
ALDH2	ENST00000261733	ENST00000261733		ENST00000261733
ANKRD26	ENST00000376087	ENST00000376087		ENST00000376087
ARHGAP26	ENST00000645722	ENST00000274498		ENST00000645722
ARHGEF12	ENST00000397843	ENST00000397843		ENST00000397843
ARHGEF28	ENST00000513042	ENST00000426542		
ARID3A	ENST00000263620	ENST00000263620		ENST00000263620
ARID3B	ENST00000346246	ENST00000346246		ENST00000346246
ARID3C	ENST00000378909	ENST00000378909		
ARID4A	ENST00000355431	ENST00000355431		ENST00000355431
ARID4B	ENST00000264183	ENST00000264183		ENST00000264183
ARID5A	ENST00000357485	ENST00000357485		ENST00000357485
ATF1	ENST00000262053	ENST00000262053		ENST00000262053
ATIC	ENST00000236959	ENST00000236959		ENST00000236959
ATP1A1	ENST00000295598	ENST00000295598		ENST00000295598
ATP6AP1	ENST00000369762	ENST00000369762		ENST00000369762
ATP6V1B2	ENST00000276390	ENST00000276390		ENST00000276390
ATRIP	ENST00000320211	ENST00000320211		ENST00000320211
ATXN2	ENST00000673436	ENST00000550104		ENST00000673436
BAALC	ENST00000309982	ENST00000297574		ENST00000309982
BACH2	ENST00000257749	ENST00000257749		ENST00000257749
BCL11B	ENST00000357195	ENST00000357195		ENST00000357195
BCL2L2	ENST00000250405	ENST00000250405		ENST00000250405
BCL3	ENST00000164227	ENST00000164227		ENST00000164227
BCL7A	ENST00000261822	ENST00000261822		ENST00000261822
BCL9	ENST00000234739	ENST00000234739		ENST00000234739
BCORL1	ENST00000540052	ENST00000218147		ENST00000540052
