Hugo Symbol	ensembl	oncokb	mskcc	MSK-Impact	MSK-Impact_enst_id	ensembl_protein_length	oncokb_protein_length	mskcc_protein_length	MSK-Impact_enst_id_protein_length	longest_protein	identical_protein_sequence
LARP4B	ENST00000316157	ENST00000316157				738.0	738.0			oncokb	True
LCK	ENST00000336890	ENST00000336890				509.0	509.0			oncokb	True
LEF1	ENST00000265165	ENST00000265165				399.0	399.0			oncokb	True
LGR5	ENST00000266674	ENST00000266674				907.0	907.0			oncokb	True
LMNA	ENST00000368300	ENST00000368300				664.0	664.0			oncokb	True
LMO2	ENST00000257818	ENST00000395833				227.0	158.0			oncokb	True
LRP1B	ENST00000389484	ENST00000389484				4599.0	4599.0			oncokb	True
LRP5	ENST00000294304	ENST00000294304				1615.0	1615.0			oncokb	True
LRP6	ENST00000261349	ENST00000261349				1613.0	1613.0			oncokb	True
LTB	ENST00000429299	ENST00000376117				244.0	244.0			oncokb	True
LTK	ENST00000263800	ENST00000263800				864.0	864.0			oncokb	True
MAF	ENST00000326043	ENST00000393350				403.0	373.0			oncokb	True
MAFB	ENST00000373313	ENST00000373313				323.0	323.0			oncokb	True
MAL2	ENST00000276681	ENST00000276681				176.0	176.0			oncokb	True
MAML2	ENST00000524717	ENST00000524717				1156.0	1156.0			oncokb	True
MAP3K21	ENST00000366624	ENST00000366624				1036.0	1036.0			oncokb	True
MAP3K7	ENST00000369329	ENST00000369329				606.0	606.0			oncokb	True
MAP4K4	ENST00000347699	ENST00000347699				1239.0	1239.0			oncokb	True
MBD4	ENST00000249910	ENST00000249910				580.0	580.0			oncokb	True
MBD6	ENST00000355673	ENST00000355673				1003.0	1003.0			oncokb	True
MECOM	ENST00000264674	ENST00000468789				1116.0	1051.0			oncokb	True
MEF2C	ENST00000340208	ENST00000437473				483.0	473.0			oncokb	True
MEF2D	ENST00000348159	ENST00000348159				521.0	521.0			oncokb	True
MERTK	ENST00000295408	ENST00000295408				999.0	999.0			oncokb	True
MGAM	ENST00000549489	ENST00000549489				1857.0	1857.0			oncokb	True
MIDEAS	ENST00000286523	ENST00000286523				1045.0	1045.0			oncokb	True
MKI67	ENST00000368654	ENST00000368654				3256.0	3256.0			oncokb	True
MLH3	ENST00000355774	ENST00000355774				1453.0	1453.0			oncokb	True
MLLT10	ENST00000307729	ENST00000307729				1068.0	1068.0			oncokb	True
MLLT3	ENST00000380338	ENST00000380338				568.0	568.0			oncokb	True
MN1	ENST00000302326	ENST00000302326				1320.0	1320.0			oncokb	True
MOB3B	ENST00000262244	ENST00000262244				216.0	216.0			oncokb	True
MPEG1	ENST00000361050	ENST00000361050				716.0	716.0			oncokb	True
MS4A1	ENST00000534668	ENST00000345732				297.0	297.0			oncokb	True
MTHFD2	ENST00000394053	ENST00000394053				350.0	350.0			oncokb	True
MYB	ENST00000341911	ENST00000367814				761.0	640.0			oncokb	True
MYBL1	ENST00000522677	ENST00000522677				752.0	752.0			oncokb	True
MYH11	ENST00000396324	ENST00000300036				1979.0	1972.0			oncokb	True
MYO5A	ENST00000399231	ENST00000399231				1855.0	1855.0			oncokb	True
NAB2	ENST00000300131	ENST00000300131				525.0	525.0			oncokb	True
NCOA4	ENST00000578454	ENST00000581486				650.0	614.0			oncokb	True
NCOR2	ENST00000405201	ENST00000405201				2514.0	2514.0			oncokb	True
NCSTN	ENST00000294785	ENST00000294785				709.0	709.0			oncokb	True
NFATC2	ENST00000396009	ENST00000396009				925.0	925.0			oncokb	True
NFE2	ENST00000540264	ENST00000312156				373.0	373.0			oncokb	True
NHERF1	ENST00000262613	ENST00000262613				358.0	358.0			oncokb	True
NQO1	ENST00000320623	ENST00000320623				274.0	274.0			oncokb	True
NR4A3	ENST00000330847	ENST00000395097				637.0	626.0			oncokb	True
NRG1	ENST00000356819	ENST00000405005				645.0	640.0			oncokb	True
NT5C2	ENST00000343289	ENST00000343289				561.0	561.0			oncokb	True
NUP214	ENST00000359428	ENST00000359428				2090.0	2090.0			oncokb	True
NUP98	ENST00000324932	ENST00000359171				1800.0	1638.0			oncokb	True
NUTM1	ENST00000333756	ENST00000333756				1132.0	1132.0			oncokb	True
ONECUT2	ENST00000491143	ENST00000491143				504.0	504.0			oncokb	True
P2RY8	ENST00000381297	ENST00000381297				359.0	359.0			oncokb	True
PAK7				NM_177990.2	ENST00000353224				719.0	MSK-Impact	True
PAX3	ENST00000392069	ENST00000350526				505.0	479.0			oncokb	True
PAX7	ENST00000375375	ENST00000420770				520.0	505.0			oncokb	True
PAX8	ENST00000429538	ENST00000263334				450.0	398.0			oncokb	True
PCBP1	ENST00000303577	ENST00000303577				356.0	356.0			oncokb	True
PDGFB	ENST00000331163	ENST00000331163				241.0	241.0			oncokb	True
PDK1	ENST00000282077	ENST00000282077				436.0	436.0			oncokb	True
PDS5B	ENST00000315596	ENST00000315596				1447.0	1447.0			oncokb	True
PHF19	ENST00000373896	ENST00000373896				580.0	580.0			oncokb	True
PHLPP1	ENST00000262719	ENST00000262719				1717.0	1717.0			oncokb	True
PHLPP2	ENST00000568954	ENST00000568954				1323.0	1323.0			oncokb	True
PIGA	ENST00000333590	ENST00000333590				484.0	484.0			oncokb	True
PIK3C2B	ENST00000367187	ENST00000367187				1634.0	1634.0			oncokb	True
PLCG1	ENST00000373272	ENST00000373271				1291.0	1290.0			oncokb	True
PML	ENST00000268058	ENST00000268058				882.0	882.0			oncokb	True
POLG	ENST00000268124	ENST00000268124				1239.0	1239.0			oncokb	True
POU2F2	ENST00000526816	ENST00000526816				479.0	479.0			oncokb	True
POU3F2	ENST00000328345	ENST00000328345				443.0	443.0			oncokb	True
POU3F4	ENST00000373200	ENST00000373200				361.0	361.0			oncokb	True
PPP2R2A	ENST00000315985	ENST00000380737				457.0	447.0			oncokb	True
PRCC	ENST00000271526	ENST00000271526				491.0	491.0			oncokb	True
PRKACA	ENST00000308677	ENST00000308677				351.0	351.0			oncokb	True
PRKDC	ENST00000314191	ENST00000314191				4127.0	4127.0			oncokb	True
PRPF8	ENST00000572621	ENST00000304992				2335.0	2335.0			oncokb	True
PRSS1	ENST00000311737	ENST00000311737				247.0	247.0			oncokb	True
PSMB2	ENST00000373237	ENST00000373237				201.0	201.0			oncokb	True
PTDSS1	ENST00000517309		ENST00000517309			473.0		473.0		mskcc	True
PTPN1	ENST00000371621	ENST00000371621				435.0	435.0			oncokb	True
PTPN13	ENST00000436978	ENST00000411767				2490.0	2485.0			oncokb	True
PTPN14	ENST00000366956	ENST00000366956				1187.0	1187.0			oncokb	True
PTPN2	ENST00000309660	ENST00000309660				415.0	415.0			oncokb	True
PUM1	ENST00000426105	ENST00000257075				1188.0	1186.0			oncokb	True
QKI	ENST00000361752	ENST00000361752				341.0	341.0			oncokb	True
RAD17	ENST00000509734	ENST00000380774				681.0	681.0			oncokb	True
RANBP2	ENST00000283195	ENST00000283195				3224.0	3224.0			oncokb	True
RBM15	ENST00000369784	ENST00000369784				977.0	977.0			oncokb	True
RELN	ENST00000428762	ENST00000428762				3460.0	3460.0			oncokb	True
REV3L	ENST00000358835	ENST00000358835				3130.0	3130.0			oncokb	True
RNASEH2A	ENST00000221486	ENST00000221486				299.0	299.0			oncokb	True
RNASEH2B	ENST00000336617	ENST00000336617				312.0	312.0			oncokb	True
RNF34	ENST00000392465		ENST00000361234			373.0		372.0		mskcc	True
ROBO1	ENST00000464233	ENST00000464233				1651.0	1651.0			oncokb	True
RPL5	ENST00000370321	ENST00000370321				297.0	297.0			oncokb	True
RPS15	ENST00000586686	ENST00000592588				145.0	28.0			oncokb	True
RUNX1T1	ENST00000436581	ENST00000265814				615.0	604.0			oncokb	True
SAMHD1	ENST00000262878	ENST00000262878				626.0	626.0			oncokb	True
SDCCAG8	ENST00000366541		ENST00000366541			713.0		713.0		mskcc	True
SET	ENST00000372692	ENST00000372692				290.0	290.0			oncokb	True
SETBP1	ENST00000282030	ENST00000282030				1596.0	1596.0			oncokb	True
SETD1A	ENST00000262519	ENST00000262519				1707.0	1707.0			oncokb	True
SETD1B	ENST00000267197	ENST00000604567				1923.0	1966.0			oncokb	True
SETD3	ENST00000331768	ENST00000331768				594.0	594.0			oncokb	True
SETD4	ENST00000399215	ENST00000332131				440.0	440.0			oncokb	True
SETD5	ENST00000402198	ENST00000402198				1442.0	1442.0			oncokb	True
SETD6	ENST00000219315	ENST00000219315				473.0	473.0			oncokb	True
SETD7	ENST00000274031	ENST00000274031				366.0	366.0			oncokb	True
SETDB2	ENST00000317257	ENST00000354234				719.0	707.0			oncokb	True
SF3B2	ENST00000322535	ENST00000322535				895.0	895.0			oncokb	True
SFRP1	ENST00000220772	ENST00000220772				314.0	314.0			oncokb	True
SFRP2	ENST00000274063	ENST00000274063				295.0	295.0			oncokb	True
SGK1	ENST00000367858	ENST00000237305				526.0	431.0			oncokb	True
SLIT2	ENST00000504154	ENST00000504154				1529.0	1529.0			oncokb	True
SLIT3	ENST00000519560	ENST00000519560				1523.0	1523.0			oncokb	True
SMARCA1	ENST00000371122	ENST00000371122				1054.0	1054.0			oncokb	True
SMC1A	ENST00000322213	ENST00000322213				1233.0	1233.0			oncokb	True
SMC3	ENST00000361804	ENST00000361804				1217.0	1217.0			oncokb	True
SMG1	ENST00000446231	ENST00000446231				3661.0	3661.0			oncokb	True
SOCS3	ENST00000330871	ENST00000330871				225.0	225.0			oncokb	True
SOX10	ENST00000396884	ENST00000360880				466.0	466.0			oncokb	True
SP140	ENST00000392045	ENST00000392045				867.0	867.0			oncokb	True
SQSTM1	ENST00000389805	ENST00000389805				440.0	440.0			oncokb	True
SRP72	ENST00000342756	ENST00000342756				671.0	671.0			oncokb	True
SS18	ENST00000415083	ENST00000415083				418.0	418.0			oncokb	True
SSX1	ENST00000376919	ENST00000376919				188.0	188.0			oncokb	True
SSX2	ENST00000336777	ENST00000337502				223.0	188.0			oncokb	True
STAG1	ENST00000383202	ENST00000383202				1258.0	1258.0			oncokb	True
STAT1	ENST00000361099	ENST00000361099				750.0	750.0			oncokb	True
STAT2	ENST00000314128	ENST00000314128				851.0	851.0			oncokb	True
STAT4	ENST00000392320	ENST00000358470				748.0	748.0			oncokb	True
STAT6	ENST00000300134	ENST00000300134				847.0	847.0			oncokb	True
SZT2	ENST00000562955	ENST00000562955				3375.0	3375.0			oncokb	True
TAF1	ENST00000276072	ENST00000423759				1893.0	1895.0			oncokb	True
TAL1	ENST00000294339	ENST00000294339				331.0	331.0			oncokb	True
TBL1XR1	ENST00000430069	ENST00000430069				514.0	514.0			oncokb	True
TCL1A	ENST00000402399	ENST00000402399				114.0	114.0			oncokb	True
TCL1B	ENST00000340722	ENST00000340722				128.0	128.0			oncokb	True
TET3	ENST00000409262	ENST00000409262				1660.0	1660.0			oncokb	True
TFE3	ENST00000315869	ENST00000315869				575.0	575.0			oncokb	True
TIGAR	ENST00000179259	ENST00000179259				270.0	270.0			oncokb	True
TLE1	ENST00000376499	ENST00000376499				770.0	770.0			oncokb	True
TLE2	ENST00000262953	ENST00000262953				743.0	743.0			oncokb	True
TLE3	ENST00000558939	ENST00000558939				772.0	772.0			oncokb	True
TLE4	ENST00000376552	ENST00000376552				773.0	773.0			oncokb	True
TLX1	ENST00000370196	ENST00000370196				330.0	330.0			oncokb	True
TLX3	ENST00000296921	ENST00000296921				291.0	291.0			oncokb	True
TNFRSF17	ENST00000053243	ENST00000053243				184.0	184.0			oncokb	True
TNFSF13	ENST00000338784	ENST00000338784				250.0	250.0			oncokb	True
TOE1	ENST00000372090		ENST00000372090			510.0		510.0		mskcc	True
TONSL	ENST00000409379	ENST00000409379				1378.0	1378.0			oncokb	True
TOP2A	ENST00000423485	ENST00000423485				1531.0	1531.0			oncokb	True
TPM3	ENST00000368530	ENST00000368530				285.0	285.0			oncokb	True
TPMT	ENST00000309983	ENST00000309983				245.0	245.0			oncokb	True
TRAF3	ENST00000560371	ENST00000392745				568.0	568.0			oncokb	True
TRAF5	ENST00000261464	ENST00000261464				557.0	557.0			oncokb	True
TRIB3	ENST00000217233	ENST00000217233				358.0	358.0			oncokb	True
TRIM27	ENST00000377199	ENST00000377199				513.0	513.0			oncokb	True
TYK2	ENST00000525621	ENST00000264818				1187.0	1187.0			oncokb	True
TYMS	ENST00000323274	ENST00000323274				313.0	313.0			oncokb	True
U2AF2	ENST00000308924	ENST00000308924				475.0	475.0			oncokb	True
UBE2A	ENST00000371558	ENST00000371558				152.0	152.0			oncokb	True
UBR5	ENST00000520539	ENST00000520539				2799.0	2799.0			oncokb	True
UCHL1	ENST00000284440	ENST00000284440				223.0	223.0			oncokb	True
USP6	ENST00000574788	ENST00000250066				1406.0	1406.0			oncokb	True
VAV1	ENST00000602142	ENST00000602142				845.0	845.0			oncokb	True
VAV2	ENST00000371850	ENST00000371850				878.0	878.0			oncokb	True
WDR74	ENST00000525239		ENST00000529106			385.0		385.0		mskcc	True
WHSC1				NM_001042424.2	ENST00000508803				1365.0	MSK-Impact	True
WIF1	ENST00000286574	ENST00000286574				379.0	379.0			oncokb	True
WRN	ENST00000298139	ENST00000298139				1432.0	1432.0			oncokb	True
WWP1	ENST00000517970	ENST00000265428				922.0	922.0			oncokb	True
XBP1	ENST00000216037	ENST00000216037				261.0	261.0			oncokb	True
XPA	ENST00000375128	ENST00000375128				273.0	273.0			oncokb	True
XPC	ENST00000285021	ENST00000285021				940.0	940.0			oncokb	True
XRCC1	ENST00000262887	ENST00000262887				633.0	633.0			oncokb	True
YY1	ENST00000262238	ENST00000262238				414.0	414.0			oncokb	True
ZBTB20	ENST00000474710	ENST00000474710				741.0	741.0			oncokb	True
ZBTB7A	ENST00000322357	ENST00000322357				584.0	584.0			oncokb	True
ZFP36L1	ENST00000439696	ENST00000336440				338.0	338.0			oncokb	True
ZFP36L2	ENST00000282388	ENST00000282388				494.0	494.0			oncokb	True
ZMYM3	ENST00000353904	ENST00000314425				1370.0	1370.0			oncokb	True
ZNF217	ENST00000371471	ENST00000302342				1048.0	1048.0			oncokb	True
ZNF750	ENST00000269394	ENST00000269394				723.0	723.0			oncokb	True
