Hugo Symbol	ensembl	oncokb	mskcc	MSK-Impact
KEL	ENST00000355265	ENST00000355265		
KIAA1549	ENST00000422774			
KIT	ENST00000288135	ENST00000288135	ENST00000288135	NM_000222.2
KLF2	ENST00000248071	ENST00000248071		
KLF3	ENST00000261438	ENST00000261438		
KLF4	ENST00000374672	ENST00000374672	ENST00000374672	NM_004235.4
KLF5	ENST00000377687	ENST00000377687	ENST00000377687	NM_001730.3
KLHL6	ENST00000341319	ENST00000341319		
KMT2A	ENST00000534358	ENST00000534358	ENST00000534358	NM_001197104.1
KMT2B	ENST00000222270	ENST00000222270	ENST00000607650	NM_014727.1
KMT2C	ENST00000262189	ENST00000262189	ENST00000262189	NM_170606.2
KMT2D	ENST00000301067	ENST00000301067	ENST00000301067	NM_003482.3
KMT5A	ENST00000402868	ENST00000330479	ENST00000330479	NM_020382.3
KNSTRN	ENST00000249776	ENST00000249776	ENST00000249776	NM_033286.3
KRAS	ENST00000256078	ENST00000311936	ENST00000311936	NM_004985.3
KSR2	ENST00000339824	ENST00000339824		
LARP4B	ENST00000316157	ENST00000316157		
LATS1	ENST00000543571	ENST00000253339	ENST00000543571	NM_004690.3
LATS2	ENST00000382592	ENST00000382592	ENST00000382592	NM_014572.2
LCK	ENST00000336890	ENST00000336890		
LEF1	ENST00000265165	ENST00000265165		
LGR5	ENST00000266674	ENST00000266674		
LMNA	ENST00000368300	ENST00000368300		
LMO1	ENST00000335790	ENST00000335790	ENST00000335790	NM_002315.2
LMO2	ENST00000257818	ENST00000395833		
LRP1B	ENST00000389484	ENST00000389484		
LRP5	ENST00000294304	ENST00000294304		
LRP6	ENST00000261349	ENST00000261349		
LTB	ENST00000429299	ENST00000376117		
LTK	ENST00000263800	ENST00000263800		
LYN	ENST00000519728	ENST00000519728	ENST00000519728	NM_002350.3
LZTR1	ENST00000215739	ENST00000215739	ENST00000215739	NM_006767.3
MAD2L2	ENST00000235310	ENST00000235310	ENST00000376667	NM_001127325.1
MAF	ENST00000326043	ENST00000393350		
MAFB	ENST00000373313	ENST00000373313		
MAGI2	ENST00000354212			
MAL2	ENST00000276681	ENST00000276681		
MALT1	ENST00000348428	ENST00000348428	ENST00000348428	NM_006785.3
MAML2	ENST00000524717	ENST00000524717		
MAP2K1	ENST00000307102	ENST00000307102	ENST00000307102	NM_002755.3
MAP2K2	ENST00000262948	ENST00000262948	ENST00000262948	NM_030662.3
MAP2K4	ENST00000353533	ENST00000353533	ENST00000353533	NM_003010.3
MAP3K1	ENST00000399503	ENST00000399503	ENST00000399503	NM_005921.1
MAP3K13	ENST00000265026	ENST00000265026	ENST00000265026	NM_004721.4
MAP3K14	ENST00000344686	ENST00000344686	ENST00000376926	NM_003954.3
MAP3K21	ENST00000366624	ENST00000366624		
MAP3K7	ENST00000369329	ENST00000369329		
MAP4K4	ENST00000347699	ENST00000347699		
MAPK1	ENST00000215832	ENST00000215832	ENST00000215832	NM_002745.4
MAPK3	ENST00000263025	ENST00000263025	ENST00000263025	NM_002746.2
MAPKAP1	ENST00000265960	ENST00000265960	ENST00000265960	NM_001006617.1
MAX	ENST00000358664	ENST00000358664	ENST00000358664	NM_002382.4
MBD4	ENST00000249910	ENST00000249910		
MBD6	ENST00000355673	ENST00000355673		
MCL1	ENST00000369026	ENST00000369026	ENST00000369026	NM_021960.4
MDC1	ENST00000376406	ENST00000376406	ENST00000376406	NM_014641.2
MDM2	ENST00000462284	ENST00000462284	ENST00000462284	NM_002392.5
MDM4	ENST00000367182	ENST00000367182	ENST00000367182	NM_002393.4
MECOM	ENST00000264674	ENST00000468789		
MED12	ENST00000374080	ENST00000374080	ENST00000333646	NM_005120.2
MEF2B	ENST00000162023	ENST00000162023	ENST00000424583	NM_001145785.1
MEF2C	ENST00000340208	ENST00000437473		
MEF2D	ENST00000348159	ENST00000348159		
MEN1	ENST00000337652	ENST00000312049	ENST00000312049	NM_130799.2
MERTK	ENST00000295408	ENST00000295408		
MET	ENST00000318493	ENST00000397752	ENST00000397752	NM_000245.2
MGA	ENST00000219905	ENST00000219905	ENST00000219905	NM_001164273.1
MGAM	ENST00000549489	ENST00000549489		
MIDEAS	ENST00000286523	ENST00000286523		
MITF	ENST00000352241	ENST00000394351	ENST00000394351	NM_000248.3
MKI67	ENST00000368654	ENST00000368654		
MLH1	ENST00000231790	ENST00000231790	ENST00000231790	NM_000249.3
MLH3	ENST00000355774	ENST00000355774		
MLLT1	ENST00000252674	ENST00000252674	ENST00000252674	NM_005934.3
MLLT10	ENST00000307729	ENST00000307729		
MLLT3	ENST00000380338	ENST00000380338		
MN1	ENST00000302326	ENST00000302326		
MOB3B	ENST00000262244	ENST00000262244		
MPEG1	ENST00000361050	ENST00000361050		
MPL	ENST00000372470	ENST00000372470	ENST00000372470	NM_005373.2
MRE11	ENST00000323929	ENST00000323929	ENST00000323929	NM_005591.3
MS4A1	ENST00000534668	ENST00000345732		
MSH2	ENST00000233146	ENST00000233146	ENST00000233146	NM_000251.2
MSH3	ENST00000265081	ENST00000265081	ENST00000265081	NM_002439.4
MSH6	ENST00000234420	ENST00000234420	ENST00000234420	NM_000179.2
MSI1	ENST00000257552	ENST00000257552	ENST00000257552	NM_002442.3
MSI2	ENST00000284073	ENST00000284073	ENST00000284073	NM_138962.2
MST1	ENST00000449682	ENST00000449682	ENST00000449682	NM_020998.3
MST1R	ENST00000296474	ENST00000296474	ENST00000296474	NM_002447.2
MTAP	ENST00000380172	ENST00000380172	ENST00000380172	NM_002451.3
MTHFD2	ENST00000394053	ENST00000394053		
MTHFR	ENST00000376592			
MTOR	ENST00000361445	ENST00000361445	ENST00000361445	NM_004958.3
MUTYH	ENST00000372098	ENST00000372115	ENST00000450313	NM_001128425.1
MYB	ENST00000341911	ENST00000367814		
MYBL1	ENST00000522677	ENST00000522677		
MYC	ENST00000377970	ENST00000377970	ENST00000377970	NM_002467.4
MYCL	ENST00000397332	ENST00000397332	ENST00000397332	NM_001033082.2
MYCN	ENST00000281043	ENST00000281043	ENST00000281043	NM_005378.4
MYD88	ENST00000417037	ENST00000396334	ENST00000396334	NM_002468.4
MYH11	ENST00000396324	ENST00000300036		
MYO5A	ENST00000399231	ENST00000399231		
MYOD1	ENST00000250003	ENST00000250003	ENST00000250003	NM_002478.4
NAB2	ENST00000300131	ENST00000300131		
NADK	ENST00000344463	ENST00000341426	ENST00000378625	NM_001198994.1
NBN	ENST00000265433	ENST00000265433	ENST00000265433	NM_002485.4
NCOA3	ENST00000371998	ENST00000371998	ENST00000372004	NM_181659.2
NCOA4	ENST00000578454	ENST00000581486		
NCOR1	ENST00000268712	ENST00000268712	ENST00000268712	NM_006311.3
NCOR2	ENST00000405201	ENST00000405201		
NCSTN	ENST00000294785	ENST00000294785		
NEGR1	ENST00000357731	ENST00000357731	ENST00000357731	NM_173808.2
NF1	ENST00000358273	ENST00000356175	ENST00000356175	NM_000267.3
NF2	ENST00000338641	ENST00000338641	ENST00000338641	NM_000268.3
NFATC2	ENST00000396009	ENST00000396009		
NFE2	ENST00000540264	ENST00000312156		
NFE2L2	ENST00000397062	ENST00000397062	ENST00000397062	NM_006164.4
NFKBIA	ENST00000216797	ENST00000216797	ENST00000216797	NM_020529.2
NHERF1	ENST00000262613	ENST00000262613		
NKX2-1	ENST00000354822	ENST00000354822	ENST00000354822	NM_001079668.2
NKX3-1	ENST00000380871	ENST00000380871	ENST00000380871	NM_006167.3
NOTCH1	ENST00000277541	ENST00000277541	ENST00000277541	NM_017617.3
NOTCH2	ENST00000256646	ENST00000256646	ENST00000256646	NM_024408.3
NOTCH3	ENST00000263388	ENST00000263388	ENST00000263388	NM_000435.2
NOTCH4	ENST00000375023	ENST00000375023	ENST00000375023	NM_004557.3
NPM1	ENST00000296930	ENST00000296930	ENST00000296930	NM_002520.6
NQO1	ENST00000320623	ENST00000320623		
NR4A3	ENST00000330847	ENST00000395097		
NRAS	ENST00000369535	ENST00000369535	ENST00000369535	NM_002524.4
NRG1	ENST00000356819	ENST00000405005		
NSD1	ENST00000439151	ENST00000439151	ENST00000439151	NM_022455.4
NSD2	ENST00000382895	ENST00000382891	ENST00000508803	
NSD3	ENST00000317025	ENST00000317025	ENST00000317025	NM_023034.1
NT5C2	ENST00000343289	ENST00000343289		
NTHL1	ENST00000219066	ENST00000219066	ENST00000219066	NM_002528.5
NTRK1	ENST00000524377	ENST00000524377	ENST00000524377	NM_002529.3
NTRK2	ENST00000376214	ENST00000277120	ENST00000376214	NM_006180.3
NTRK3	ENST00000360948	ENST00000360948	ENST00000360948	NM_001012338.2
NUF2	ENST00000271452	ENST00000271452	ENST00000367900	NM_031423.3
NUP214	ENST00000359428	ENST00000359428		
NUP93	ENST00000308159	ENST00000308159	ENST00000308159	NM_014669.4
NUP98	ENST00000324932	ENST00000359171		
NUTM1	ENST00000333756	ENST00000333756		
ONECUT2	ENST00000491143	ENST00000491143		
Other Biomarkers				
P2RY8	ENST00000381297	ENST00000381297		
PAK1	ENST00000278568	ENST00000356341	ENST00000356341	NM_002576.4
PAK5	ENST00000378429	ENST00000353224	ENST00000353224	
PAK7				NM_177990.2
PALB2	ENST00000261584	ENST00000261584	ENST00000261584	NM_024675.3
PARP1	ENST00000366794	ENST00000366794	ENST00000366794	NM_001618.3
PAX3	ENST00000392069	ENST00000350526		
PAX5	ENST00000358127	ENST00000358127	ENST00000358127	NM_016734.2
PAX7	ENST00000375375	ENST00000420770		
PAX8	ENST00000429538	ENST00000263334		
PBRM1	ENST00000394830	ENST00000394830	ENST00000394830	NM_018313.4
PCBP1	ENST00000303577	ENST00000303577		
PDCD1	ENST00000334409	ENST00000334409	ENST00000334409	NM_005018.2
PDCD1LG2	ENST00000397747	ENST00000397747	ENST00000397747	NM_025239.3
PDGFB	ENST00000331163	ENST00000331163		
PDGFRA	ENST00000257290	ENST00000257290	ENST00000257290	NM_006206.4
PDGFRB	ENST00000261799	ENST00000261799	ENST00000261799	NM_002609.3
PDK1	ENST00000282077	ENST00000282077		
PDPK1	ENST00000342085	ENST00000342085	ENST00000342085	NM_002613.4
PDS5B	ENST00000315596	ENST00000315596		
PGBD5	ENST00000525115	ENST00000525115		NM_001258311.1
PGR	ENST00000325455	ENST00000325455	ENST00000325455	NM_000926.4
PHF19	ENST00000373896	ENST00000373896		
PHF6	ENST00000332070	ENST00000332070	ENST00000332070	NM_032458.2
PHLPP1	ENST00000262719	ENST00000262719		
PHLPP2	ENST00000568954	ENST00000568954		
PHOX2B	ENST00000226382	ENST00000226382	ENST00000226382	NM_003924.3
PIGA	ENST00000333590	ENST00000333590		
PIK3C2B	ENST00000367187	ENST00000367187		
PIK3C2G	ENST00000433979	ENST00000266497	ENST00000433979	NM_004570.4
PIK3C3	ENST00000262039	ENST00000262039	ENST00000262039	NM_002647.2
PIK3CA	ENST00000263967	ENST00000263967	ENST00000263967	NM_006218.2
PIK3CB	ENST00000477593	ENST00000289153	ENST00000289153	NM_006219.2
PIK3CD	ENST00000377346	ENST00000377346	ENST00000377346	NM_005026.3
PIK3CG	ENST00000359195	ENST00000359195	ENST00000359195	NM_002649.2
PIK3R1	ENST00000521381	ENST00000274335	ENST00000521381	NM_181523.2
PIK3R2	ENST00000222254	ENST00000222254	ENST00000222254	NM_005027.3
PIK3R3	ENST00000262741	ENST00000262741	ENST00000262741	NM_003629.3
PIM1	ENST00000373509	ENST00000373509	ENST00000373509	NM_002648.3
PLCG1	ENST00000373272	ENST00000373271		
PLCG2	ENST00000359376	ENST00000359376	ENST00000359376	NM_002661.3
PLK2	ENST00000274289	ENST00000274289	ENST00000274289	NM_006622.3
PMAIP1	ENST00000316660	ENST00000316660	ENST00000316660	NM_021127.2
PML	ENST00000268058	ENST00000268058		
PMS1	ENST00000441310	ENST00000441310	ENST00000441310	NM_000534.4
PMS2	ENST00000265849	ENST00000265849	ENST00000265849	NM_000535.5
PNRC1	ENST00000336032	ENST00000336032	ENST00000336032	NM_006813.2
POLD1	ENST00000440232	ENST00000440232	ENST00000440232	NM_002691.3
POLE	ENST00000320574	ENST00000320574	ENST00000320574	NM_006231.2
POLG	ENST00000268124	ENST00000268124		
POLH	ENST00000372236			
POT1	ENST00000357628	ENST00000357628	ENST00000357628	NM_015450.2
POU2F2	ENST00000526816	ENST00000526816		
POU3F2	ENST00000328345	ENST00000328345		
POU3F4	ENST00000373200	ENST00000373200		
PPARG	ENST00000287820	ENST00000287820	ENST00000287820	NM_015869.4
PPM1D	ENST00000305921	ENST00000305921	ENST00000305921	NM_003620.3
PPP2R1A	ENST00000322088	ENST00000322088	ENST00000322088	NM_014225.5
PPP2R2A	ENST00000315985	ENST00000380737		
PPP4R2	ENST00000356692	ENST00000356692	ENST00000295862	NM_174907.2
PPP6C	ENST00000451402	ENST00000373547	ENST00000373547	NM_002721.4
PRCC	ENST00000271526	ENST00000271526		
PRDM1	ENST00000369096	ENST00000369096	ENST00000369096	NM_001198.3
PRDM14	ENST00000276594	ENST00000276594	ENST00000276594	NM_024504.3
PREX2	ENST00000288368	ENST00000288368	ENST00000288368	NM_024870.2
PRKACA	ENST00000308677	ENST00000308677		
PRKAR1A	ENST00000589228	ENST00000358598	ENST00000358598	NM_212471.2
PRKCB	ENST00000303531			
PRKCI	ENST00000295797	ENST00000295797	ENST00000295797	NM_002740.5
PRKD1	ENST00000331968	ENST00000331968	ENST00000331968	NM_002742.2
PRKDC	ENST00000314191	ENST00000314191		
PRKN	ENST00000366898	ENST00000366898	ENST00000366898	NM_004562.2
PRPF8	ENST00000572621	ENST00000304992		
PRSS1	ENST00000311737	ENST00000311737		
PSMB2	ENST00000373237	ENST00000373237		
PTCH1	ENST00000331920	ENST00000331920	ENST00000331920	NM_000264.3
PTDSS1	ENST00000517309		ENST00000517309	
PTEN	ENST00000371953	ENST00000371953	ENST00000371953	NM_000314.4
PTP4A1	ENST00000370651	ENST00000370651	ENST00000370651	NM_003463.4
PTPN1	ENST00000371621	ENST00000371621		
PTPN11	ENST00000351677	ENST00000351677	ENST00000351677	NM_002834.3
PTPN13	ENST00000436978	ENST00000411767		
PTPN14	ENST00000366956	ENST00000366956		
PTPN2	ENST00000309660	ENST00000309660		
PTPRD	ENST00000381196	ENST00000356435	ENST00000381196	NM_002839.3
PTPRS	ENST00000357368	ENST00000357368	ENST00000357368	NM_002850.3
PTPRT	ENST00000373187	ENST00000373198	ENST00000373198	NM_133170.3
PUM1	ENST00000426105	ENST00000257075		
QKI	ENST00000361752	ENST00000361752		
RAB35	ENST00000229340	ENST00000229340	ENST00000229340	NM_006861.6
RAC1	ENST00000356142	ENST00000356142	ENST00000356142	NM_018890.3
RAC2	ENST00000249071	ENST00000249071	ENST00000249071	NM_002872.4
RAD17	ENST00000509734	ENST00000380774		
RAD21	ENST00000297338	ENST00000297338	ENST00000297338	NM_006265.2
RAD50	ENST00000265335	ENST00000265335	ENST00000378823	NM_005732.3
RAD51	ENST00000382643	ENST00000267868	ENST00000267868	NM_002875.4
RAD51B	ENST00000487270	ENST00000487270	ENST00000487270	NM_133509.3
RAD51C	ENST00000337432	ENST00000337432	ENST00000337432	NM_058216.2
RAD51D	ENST00000590016	ENST00000345365	ENST00000345365	NM_002878.3
RAD52	ENST00000358495	ENST00000358495	ENST00000358495	NM_134424.2
RAD54L	ENST00000371975	ENST00000371975	ENST00000442598	NM_001142548.1
RAF1	ENST00000251849	ENST00000251849	ENST00000251849	NM_002880.3
RANBP2	ENST00000283195	ENST00000283195		
RARA	ENST00000254066	ENST00000254066	ENST00000254066	NM_000964.3
RASA1	ENST00000274376	ENST00000274376	ENST00000274376	NM_002890.2
RB1	ENST00000267163	ENST00000267163	ENST00000267163	NM_000321.2
RBM10	ENST00000377604	ENST00000329236	ENST00000377604	NM_001204468.1
RBM15	ENST00000369784	ENST00000369784		
RECQL	ENST00000444129	ENST00000421138	ENST00000444129	NM_002907.3
RECQL4	ENST00000428558	ENST00000428558	ENST00000428558	ENST00000428558
REL	ENST00000295025	ENST00000295025	ENST00000295025	NM_002908.2
RELN	ENST00000428762	ENST00000428762		
REST	ENST00000309042	ENST00000309042	ENST00000309042	NM_001193508.1
RET	ENST00000355710	ENST00000355710	ENST00000355710	NM_020975.4
REV3L	ENST00000358835	ENST00000358835		
RHEB	ENST00000262187	ENST00000262187	ENST00000262187	NM_005614.3
RHOA	ENST00000418115	ENST00000418115	ENST00000418115	NM_001664.2
RICTOR	ENST00000357387	ENST00000357387	ENST00000357387	NM_152756.3
RIOK2	ENST00000283109			
RIT1	ENST00000368322	ENST00000368323	ENST00000368323	NM_006912.5
RNASEH2A	ENST00000221486	ENST00000221486		
RNASEH2B	ENST00000336617	ENST00000336617		
RNF34	ENST00000392465		ENST00000361234	
RNF43	ENST00000584437	ENST00000407977	ENST00000577716	NM_017763.4
ROBO1	ENST00000464233	ENST00000464233		
ROS1	ENST00000368508	ENST00000368508	ENST00000368508	NM_002944.2
RPL5	ENST00000370321	ENST00000370321		
RPS15	ENST00000586686	ENST00000592588		
RPS6KA4	ENST00000334205	ENST00000334205	ENST00000334205	NM_003942.2
RPS6KB1	ENST00000225577			
RPS6KB2	ENST00000312629	ENST00000312629	ENST00000312629	NM_003952.2
RPTOR	ENST00000306801	ENST00000306801	ENST00000306801	NM_020761.2
RRAGC	ENST00000373001	ENST00000373001	ENST00000373001	NM_022157.3
RRAS	ENST00000246792	ENST00000246792	ENST00000246792	NM_006270.3
RRAS2	ENST00000256196	ENST00000256196	ENST00000545643	NM_012250.5
RTEL1	ENST00000508582	ENST00000360203	ENST00000360203	ENST00000360203
RUNX1	ENST00000300305	ENST00000300305	ENST00000437180	NM_001754.4
RUNX1T1	ENST00000436581	ENST00000265814		
RXRA	ENST00000481739	ENST00000481739	ENST00000481739	NM_002957.4
RYBP	ENST00000477973	ENST00000477973	ENST00000477973	NM_012234.5
SAMD9	ENST00000379958			
SAMD9L	ENST00000318238			
SAMHD1	ENST00000262878	ENST00000262878		
SCG5	ENST00000300175	ENST00000300175	ENST00000300175	NM_001144757.1
SDCCAG8	ENST00000366541		ENST00000366541	
SDHA	ENST00000264932	ENST00000264932	ENST00000264932	NM_004168.2
SDHAF2	ENST00000301761	ENST00000301761	ENST00000301761	NM_017841.2
SDHB	ENST00000375499	ENST00000375499	ENST00000375499	NM_003000.2
SDHC	ENST00000367975	ENST00000367975	ENST00000367975	NM_003001.3
SDHD	ENST00000375549	ENST00000375549	ENST00000375549	NM_003002.3
SERPINB3	ENST00000283752	ENST00000283752	ENST00000283752	NM_006919.2
SERPINB4	ENST00000341074	ENST00000341074		NM_002974.2
SESN1	ENST00000436639	ENST00000436639	ENST00000436639	NM_014454.2
SESN2	ENST00000253063	ENST00000253063	ENST00000253063	NM_031459.4
SESN3	ENST00000536441	ENST00000536441	ENST00000536441	NM_144665.3
SET	ENST00000372692	ENST00000372692		
SETBP1	ENST00000282030	ENST00000282030		
SETD1A	ENST00000262519	ENST00000262519		
SETD1B	ENST00000267197	ENST00000604567		
SETD2	ENST00000409792	ENST00000409792	ENST00000409792	NM_014159.6
SETD3	ENST00000331768	ENST00000331768		
SETD4	ENST00000399215	ENST00000332131		
SETD5	ENST00000402198	ENST00000402198		
SETD6	ENST00000219315	ENST00000219315		
SETD7	ENST00000274031	ENST00000274031		
SETDB1	ENST00000271640	ENST00000271640	ENST00000271640	NM_001145415.1
SETDB2	ENST00000317257	ENST00000354234		
SF3B1	ENST00000335508	ENST00000335508	ENST00000335508	NM_012433.2
SF3B2	ENST00000322535	ENST00000322535		
SFRP1	ENST00000220772	ENST00000220772		
SFRP2	ENST00000274063	ENST00000274063		
SGK1	ENST00000367858	ENST00000237305		
SH2B3	ENST00000341259	ENST00000341259	ENST00000341259	NM_005475.2
SH2D1A	ENST00000371139	ENST00000371139	ENST00000371139	NM_002351.4
SHOC2	ENST00000369452	ENST00000369452	ENST00000369452	NM_007373.3
SHQ1	ENST00000325599	ENST00000325599	ENST00000325599	NM_018130.2
SLFN11	ENST00000394566	ENST00000308377	ENST00000394566	NM_001104589.1
SLIT2	ENST00000504154	ENST00000504154		
SLIT3	ENST00000519560	ENST00000519560		
SLX4	ENST00000294008	ENST00000294008	ENST00000294008	NM_032444.2
SMAD2	ENST00000402690	ENST00000262160	ENST00000402690	NM_001003652.3
SMAD3	ENST00000327367	ENST00000327367	ENST00000327367	NM_005902.3
SMAD4	ENST00000342988	ENST00000342988	ENST00000342988	NM_005359.5
SMARCA1	ENST00000371122	ENST00000371122		
SMARCA2	ENST00000382203	ENST00000349721	ENST00000349721	NM_003070.3
SMARCA4	ENST00000429416	ENST00000358026	ENST00000358026	NM_001128849.1
SMARCB1	ENST00000263121	ENST00000263121	ENST00000263121	NM_003073.3
SMARCD1	ENST00000394963	ENST00000394963	ENST00000394963	NM_003076.4
SMARCE1	ENST00000348513	ENST00000348513	ENST00000348513	NM_003079.4
SMC1A	ENST00000322213	ENST00000322213		
SMC3	ENST00000361804	ENST00000361804		
SMG1	ENST00000446231	ENST00000446231		
SMO	ENST00000249373	ENST00000249373	ENST00000249373	NM_005631.4
SMYD3	ENST00000388985	ENST00000388985	ENST00000490107	NM_001167740.1
SOCS1	ENST00000332029	ENST00000332029	ENST00000332029	NM_003745.1
SOCS3	ENST00000330871	ENST00000330871		
SOS1	ENST00000426016	ENST00000402219	ENST00000402219	NM_005633.3
SOX10	ENST00000396884	ENST00000360880		
SOX17	ENST00000297316	ENST00000297316	ENST00000297316	NM_022454.3
SOX2	ENST00000325404	ENST00000325404	ENST00000325404	NM_003106.3
SOX9	ENST00000245479	ENST00000245479	ENST00000245479	NM_000346.3
SP140	ENST00000392045	ENST00000392045		
SPEN	ENST00000375759	ENST00000375759	ENST00000375759	NM_015001.2
SPOP	ENST00000393331	ENST00000347630	ENST00000504102	NM_001007228.1
SPRED1	ENST00000299084	ENST00000299084	ENST00000299084	NM_152594.2
SPRTN	ENST00000295050	ENST00000295050		NM_032018.5
SQSTM1	ENST00000389805	ENST00000389805		
SRC	ENST00000373578	ENST00000358208	ENST00000373578	NM_198291.2
SRP72	ENST00000342756	ENST00000342756		
SRSF2	ENST00000392485	ENST00000359995	ENST00000392485	NM_003016.4
SS18	ENST00000415083	ENST00000415083		
SSX1	ENST00000376919	ENST00000376919		
SSX2	ENST00000336777	ENST00000337502		
STAG1	ENST00000383202	ENST00000383202		
STAG2	ENST00000218089	ENST00000218089	ENST00000218089	NM_001042749.1
STAT1	ENST00000361099	ENST00000361099		
STAT2	ENST00000314128	ENST00000314128		
STAT3	ENST00000264657	ENST00000264657	ENST00000264657	NM_139276.2
STAT4	ENST00000392320	ENST00000358470		
STAT5A	ENST00000345506	ENST00000345506	ENST00000345506	NM_003152.3
STAT5B	ENST00000293328	ENST00000293328	ENST00000293328	NM_012448.3
STAT6	ENST00000300134	ENST00000300134		
STK11	ENST00000326873	ENST00000326873	ENST00000326873	NM_000455.4
STK19	ENST00000375333	ENST00000375331	ENST00000375331	NM_004197.1
STK40	ENST00000373129	ENST00000373129	ENST00000373129	NM_032017.1
SUFU	ENST00000369902	ENST00000369902	ENST00000369902	NM_016169.3
SUZ12	ENST00000322652	ENST00000322652	ENST00000322652	NM_015355.2
SYK	ENST00000375754	ENST00000375746	ENST00000375754	NM_003177.5
SZT2	ENST00000562955	ENST00000562955		
TACSTD2	ENST00000371225			
TAF1	ENST00000276072	ENST00000423759		
TAL1	ENST00000294339	ENST00000294339		
TAP1	ENST00000354258	ENST00000354258	ENST00000354258	NM_000593.5
TAP2	ENST00000374899	ENST00000374899	ENST00000374899	NM_018833.2
TBL1XR1	ENST00000430069	ENST00000430069		
TBX3	ENST00000257566	ENST00000257566	ENST00000257566	NM_016569.3
TCF3	ENST00000262965	ENST00000344749	ENST00000344749	NM_001136139.2
TCF7L2	ENST00000543371	ENST00000543371	ENST00000543371	NM_001146274.1
TCL1A	ENST00000402399	ENST00000402399		
TCL1B	ENST00000340722	ENST00000340722		
TEK	ENST00000380036	ENST00000380036	ENST00000380036	NM_000459.3
TENT5C	ENST00000369448	ENST00000369448	ENST00000369448	NM_017709.3
TERT	ENST00000310581	ENST00000310581	ENST00000310581	NM_198253.2
TET1	ENST00000373644	ENST00000373644	ENST00000373644	NM_030625.2
TET2	ENST00000540549	ENST00000380013	ENST00000380013	NM_001127208.2
TET3	ENST00000409262	ENST00000409262		
TFE3	ENST00000315869	ENST00000315869		
TGFBR1	ENST00000374994	ENST00000374994	ENST00000374994	NM_004612.2
TGFBR2	ENST00000359013	ENST00000295754	ENST00000295754	NM_003242.5
TIGAR	ENST00000179259	ENST00000179259		
TLE1	ENST00000376499	ENST00000376499		
TLE2	ENST00000262953	ENST00000262953		
TLE3	ENST00000558939	ENST00000558939		
TLE4	ENST00000376552	ENST00000376552		
TLX1	ENST00000370196	ENST00000370196		
TLX3	ENST00000296921	ENST00000296921		
TMEM127	ENST00000258439	ENST00000258439	ENST00000258439	NM_017849.3
TMPRSS2	ENST00000398585	ENST00000398585	ENST00000398585	NM_001135099.1
TNFAIP3	ENST00000237289	ENST00000237289	ENST00000237289	NM_006290.3
TNFRSF14	ENST00000355716	ENST00000355716	ENST00000355716	NM_003820.2
TNFRSF17	ENST00000053243	ENST00000053243		
TNFSF13	ENST00000338784	ENST00000338784		
TOE1	ENST00000372090		ENST00000372090	
TONSL	ENST00000409379	ENST00000409379		
TOP1	ENST00000361337	ENST00000361337	ENST00000361337	NM_003286.2
TOP2A	ENST00000423485	ENST00000423485		
TP53	ENST00000269305	ENST00000269305	ENST00000269305	NM_000546.5
TP53BP1	ENST00000382044	ENST00000382044	ENST00000382044	NM_001141980.1
TP63	ENST00000264731	ENST00000264731	ENST00000264731	NM_003722.4
TPM3	ENST00000368530	ENST00000368530		
TPMT	ENST00000309983	ENST00000309983		
TRA				
TRAF2	ENST00000247668	ENST00000247668	ENST00000247668	NM_021138.3
TRAF3	ENST00000560371	ENST00000392745		
TRAF5	ENST00000261464	ENST00000261464		
TRAF7	ENST00000326181	ENST00000326181	ENST00000326181	NM_032271.2
TRB				
TRD				
TRG				
TRIB3	ENST00000217233	ENST00000217233		
TRIM27	ENST00000377199	ENST00000377199		
TRIP13	ENST00000166345	ENST00000166345	ENST00000166345	NM_004237.3
TSC1	ENST00000298552	ENST00000298552	ENST00000298552	NM_000368.4
TSC2	ENST00000219476	ENST00000219476	ENST00000219476	NM_000548.3
TSHR	ENST00000541158	ENST00000298171	ENST00000298171	NM_000369.2
TYK2	ENST00000525621	ENST00000264818		
TYMS	ENST00000323274	ENST00000323274		
U2AF1	ENST00000291552	ENST00000291552	ENST00000291552	NM_006758.2
U2AF2	ENST00000308924	ENST00000308924		
UBA1	ENST00000335972			
UBE2A	ENST00000371558	ENST00000371558		
UBR5	ENST00000520539	ENST00000520539		
UBTF	ENST00000302904			
UCHL1	ENST00000284440	ENST00000284440		
UPF1	ENST00000262803	ENST00000262803	ENST00000262803	NM_002911.3
USP1	ENST00000339950			
USP6	ENST00000574788	ENST00000250066		
USP8	ENST00000433963	ENST00000307179	ENST00000396444	NM_005154.3
VAV1	ENST00000602142	ENST00000602142		
VAV2	ENST00000371850	ENST00000371850		
VEGFA	ENST00000372055	ENST00000523873	ENST00000372067	NM_001171623.1
VHL	ENST00000256474	ENST00000256474	ENST00000256474	NM_000551.3
VTCN1	ENST00000369458	ENST00000369458	ENST00000369458	NM_024626.3
WDR74	ENST00000525239		ENST00000529106	
WEE1	ENST00000450114			
WHSC1				NM_001042424.2
WIF1	ENST00000286574	ENST00000286574		
WRN	ENST00000298139	ENST00000298139		
WT1	ENST00000332351	ENST00000332351	ENST00000332351	NM_024426.4
WWP1	ENST00000517970	ENST00000265428		
WWTR1	ENST00000465804	ENST00000360632	ENST00000467467	NM_001168280.1
XBP1	ENST00000216037	ENST00000216037		
